year,January,February,March,April,May,June,July,August,September,October,November,December
1961,0.399,0.263,0.254,0.278,0.367,0.313,0.007,-0.001,-0.063,-0.123,0.138,-0.217
1962,0.104,0.218,0.279,0.027,-0.183,-0.208,-0.035,-0.007,-0.023,0.25,0.201,0.113
1963,-0.171,0.563,-0.237,0.002,-0.029,-0.12,0.208,0.159,0.374,0.653,0.392,-0.225
1964,-0.311,-0.409,-0.287,-0.167,-0.097,-0.089,-0.235,-0.362,-0.256,-0.46,-0.135,-0.643
1965,0.206,-0.45,-0.272,-0.574,-0.141,-0.036,-0.29,-0.247,-0.146,-0.056,-0.057,0.285
1966,0.458,0.756,0.391,-0.018,-0.069,0.279,0.27,0.159,-0.076,0.039,-0.063,-0.218
1967,-0.289,-0.557,-0.117,-0.174,0.238,-0.354,-0.214,-0.028,-0.016,0.332,0.025,-0.208
1968,-0.393,-0.412,0.423,-0.137,-0.333,-0.217,-0.195,-0.215,0.019,-0.007,0.237,-0.075
1969,-0.859,-0.658,-0.018,0.047,0.228,0.023,-0.065,0.042,-0.076,0.047,0.286,0.469
1970,0.078,0.612,-0.043,0.357,0.16,0.18,0.055,0.11,-0.126,-0.144,0.132,-0.389
1971,-0.05,-0.039,-0.006,-0.187,-0.015,-0.206,0.003,-0.067,0.008,-0.115,-0.04,0.128
1972,-0.994,-1.306,-0.172,-0.125,-0.048,0.169,0.101,-0.001,-0.149,-0.04,0.098,-0.124
1973,0.23,0.965,0.712,0.447,0.299,0.403,0.34,0.179,-0.051,0.159,-0.265,-0.093
1974,-0.495,-0.427,0.018,-0.167,-0.107,-0.105,-0.166,-0.239,-0.326,-0.174,0.106,-0.245
1975,0.368,0.101,0.21,0.247,0.266,0.24,0.237,0.062,0.3,-0.193,-0.514,-0.329
1976,0.129,-0.447,-0.865,-0.032,-0.196,-0.354,-0.191,-0.193,-0.146,-0.687,-0.421,-0.098
1977,-0.545,0.782,0.965,0.442,0.239,0.358,0.171,0.103,0.17,0.123,0.548,-0.025
1978,0.116,0.166,0.369,0.174,0.016,-0.242,-0.004,-0.257,0.013,-0.039,-0.239,0.159
1979,0.377,-0.119,0.434,0.086,0.059,0.18,0.06,0.29,0.267,0.523,0.381,0.849
1980,0.089,0.216,0,0.575,0.434,0.28,0.316,0.165,0.075,0.22,0.739,0.252
1981,1.082,0.961,1.126,0.385,0.254,0.17,0.216,0.245,0.23,0.143,0.207,0.735
1982,0.102,-0.213,0.005,0.096,0.159,-0.137,0.13,0.103,0.224,0.069,-0.343,0.298
1983,0.672,0.632,0.392,0.454,0.535,0.125,0.484,0.496,0.462,0.169,0.7,-0.069
1984,0.19,-0.25,0.294,0.351,0.392,0.039,0.117,0.2,-0.103,0.266,0.014,-0.906
1985,0.233,-0.577,-0.002,0.238,0.535,0.091,-0.063,0.262,-0.061,0.004,-0.166,0.163
1986,0.891,0.164,0.263,0.512,0.504,0.275,0.122,0.244,0.094,-0.045,-0.331,0.156
1987,0.529,1.206,-0.069,0.291,0.372,0.351,0.552,0.216,0.515,0.048,0.527,1.073
1988,0.895,0.421,0.673,0.721,0.545,0.621,0.57,0.369,0.411,0.264,0.029,0.489
1989,0.217,0.201,0.504,0.596,0.235,0.237,0.328,0.369,0.284,0.412,0.035,0.485
1990,0.964,0.76,1.312,0.581,0.391,0.571,0.214,0.416,0.386,0.514,1.048,0.506
1991,0.563,0.63,0.649,0.617,0.148,0.56,0.423,0.405,0.426,0.366,0.193,0.183
1992,0.94,0.783,0.71,0.258,0.278,0.124,-0.281,-0.078,-0.294,-0.15,-0.216,0.388
1993,0.713,0.718,0.795,0.383,0.414,0.336,0.311,0.22,-0.031,0.266,-0.373,0.462
1994,0.511,-0.264,0.712,0.613,0.689,0.642,0.348,0.351,0.467,0.723,0.729,0.515
1995,1.217,1.685,0.839,0.703,0.565,0.789,0.538,0.854,0.647,0.835,0.76,0.406
1996,0.258,0.802,0.279,0.097,0.599,0.371,0.446,0.345,0.081,0.167,0.397,0.582
1997,0.554,0.782,0.813,0.619,0.458,0.675,0.551,0.659,0.762,0.806,0.632,0.659
1998,0.788,1.739,0.959,1.325,1.014,1.044,1.196,1.12,0.875,0.813,0.376,1.042
1999,1.009,1.73,0.369,0.818,0.619,0.676,0.689,0.573,0.681,0.636,0.614,1.121
2000,0.478,1.249,1.156,1.387,0.754,0.619,0.538,0.681,0.471,0.277,0.09,0.222
2001,0.807,0.605,1.195,0.981,1.026,0.691,0.832,0.986,0.697,0.651,1.347,0.748
2002,1.398,1.833,1.602,0.803,0.77,0.786,1.04,0.86,0.827,0.596,0.953,0.349
2003,1.39,0.914,0.813,0.867,1.033,0.753,0.798,0.941,0.887,1.218,0.789,1.442
2004,1.001,1.381,1.31,0.888,0.466,0.563,0.482,0.519,0.671,0.88,1.365,0.524
2005,1.174,0.826,1.315,1.414,1.07,1.095,0.983,0.878,1.134,1.298,1.527,1.086
2006,0.722,1.368,1.192,0.776,0.722,1.118,0.984,0.963,0.91,1.205,0.965,1.463
2007,2.087,1.215,1.261,1.497,1.094,0.782,0.826,0.929,1.007,1.153,1.063,0.982
2008,0.321,0.654,1.818,0.834,0.82,0.804,0.891,0.811,0.701,1.289,1.333,0.809
2009,1.086,1.115,0.988,1.106,0.801,0.828,0.741,0.959,1.204,0.9,1.06,0.61
2010,1.092,1.287,1.574,1.534,1.271,1.227,1.235,1.108,0.94,1.198,1.664,0.635
2011,0.7,0.56,1.007,1.243,0.856,1.046,1.06,1.033,1.023,1.186,0.741,1.054
2012,0.654,0.491,0.892,1.552,1.397,1.313,1.083,1.043,1.14,1.144,1.204,0.298
2013,1.131,1.305,1.109,0.901,1.185,1.18,0.882,0.856,0.883,1.032,1.492,1.057
2014,1.174,0.555,1.429,1.459,1.227,1.06,0.863,1.069,0.903,1.065,0.761,1.342
2015,1.529,1.657,1.719,1.225,1.389,1.362,1.123,1.262,1.324,1.546,1.544,2.058
2016,1.813,2.624,2.568,2.046,1.382,1.335,1.294,1.45,1.408,0.998,1.11,1.246
2017,1.758,1.944,2.014,1.468,1.29,1.235,1.259,1.301,1.322,1.206,1.235,1.629
2018,1.349,1.315,1.652,1.367,1.286,1.107,1.311,1.066,1.176,1.383,0.973,1.24
2019,1.697,1.341,2.138,1.707,1.281,1.515,1.207,1.201,1.415,1.545,1.392,1.88
